record_timestamp,CHR-01-CHWSWT,CHR-01-CHWRWT,CHR-01-CHWFWR,CHR-02-CHWSWT,CHR-02-CHWRWT,CHR-02-CHWFWR,CHR-03-CHWSWT,CHR-03-CHWRWT,CHR-03-CHWFWR,CHR-04-CHWSWT,CHR-04-CHWRWT,CHR-04-CHWFWR
1/1/2024 0:00,11.9062,13.9844,13.0275,20.9219,20.6937,0,19.7156,19.6375,0,19.1469,18.8656,0
1/1/2024 0:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 0:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 0:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 1:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 1:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 1:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 1:45,13.7062,15.2844,13.1062,20.9406,20.6375,0,19.7344,19.6656,0,19.1969,18.9281,0
1/1/2024 2:00,13.9844,13.9844,13.0462,20.9906,20.6406,0,19.7375,19.6469,0,19.2062,18.9375,0
1/1/2024 2:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 2:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 2:45,12.05,14.05,13.0437,20.9469,20.6969,0,19.7406,19.675,0,19.2437,18.9531,0
1/1/2024 3:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 3:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 3:30,14.5937,15.3687,13.0812,20.9469,20.6531,0,19.75,19.6875,0,19.2469,18.9875,0
1/1/2024 3:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 4:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 4:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 4:30,13.4062,15.2,13.065,20.9906,20.7594,0,19.7625,19.7,0,19.2969,19.0125,0
1/1/2024 4:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 5:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 5:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 5:30,12.4031,14.3969,13.0312,20.9406,20.6406,0,19.7656,19.7125,0,19.3281,19.05,0
1/1/2024 5:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 6:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 6:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 6:30,14.0375,14.0781,13.0737,20.8875,20.6219,0,19.7625,19.7219,0,19.3469,19.0875,0
1/1/2024 6:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 7:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 7:15,14.0156,15.3094,13.0687,20.8812,20.5312,0,19.7781,19.7344,0,19.375,19.1094,0
1/1/2024 7:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 7:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 8:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 8:15,13.1281,15.0969,13.0437,20.8937,20.5344,0,19.7844,19.7406,0,19.4094,19.1375,0
1/1/2024 8:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 8:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 9:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 9:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 9:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 9:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 10:00,12.1406,14.2531,13.0325,20.8094,20.5312,0,19.8,19.7437,0,19.4437,19.175,0
1/1/2024 10:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 10:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 10:45,13.7875,15.2875,12.9825,20.8281,20.5062,0,19.8094,19.7625,0,19.4625,19.2031,0
1/1/2024 11:00,13.4187,13.4875,13.0162,20.8,20.5031,0,19.8062,19.7562,0,19.4719,19.2062,0
1/1/2024 11:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 11:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 11:45,12.7656,13.5812,12.9562,20.8219,20.4969,0,19.8125,19.7781,0,19.4937,19.2219,0
1/1/2024 12:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 12:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 12:30,13.3594,15.1875,13.0737,20.8656,20.4969,0,19.8094,19.775,0,19.4875,19.25,0
1/1/2024 12:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 13:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 13:15,15.0062,15.5125,12.9625,20.8719,20.4156,0,19.8156,19.7781,0,19.525,19.2656,0
1/1/2024 13:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 13:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 14:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 14:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 14:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 14:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 15:00,13.1875,15.0906,13.0662,20.8781,20.4906,0,19.8344,19.7969,0,19.5656,19.3156,0
1/1/2024 15:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 15:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 15:45,15.3156,15.5844,13.0875,20.8469,20.4969,0,19.8437,19.8,0,19.5781,19.3281,0
1/1/2024 16:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 16:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 16:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 16:45,12.25,14.1969,12.9575,20.8844,20.5719,0,19.8437,19.8094,0,19.5906,19.3437,0
1/1/2024 17:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 17:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 17:30,14.7344,15.4875,13.0587,20.9187,20.4812,0,19.8594,19.825,0,19.5969,19.375,0
1/1/2024 17:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 18:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 18:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 18:30,12.6062,14.5875,13.0312,20.9156,20.5312,0,19.8594,19.8312,0,19.6125,19.3875,0
1/1/2024 18:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 19:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 19:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 19:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 19:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 20:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 20:15,13.7562,15.2875,13.0075,20.9312,20.6469,0,19.8844,19.85,0,19.6469,19.4187,0
1/1/2024 20:30,13.8187,13.8625,13.07,20.8812,20.65,0,19.8812,19.85,0,19.6562,19.425,0
1/1/2024 20:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 21:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 21:15,11.7187,13.8781,13.09,20.9312,20.5687,0,19.8844,19.8531,0,19.6687,19.4437,0
1/1/2024 21:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 21:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 22:00,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 22:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 22:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 22:45,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 23:00,13.1219,15.05,13.0537,20.875,20.5875,0,19.9094,19.8625,0,19.7062,19.4719,0
1/1/2024 23:15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 23:30,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2024 23:45,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 0:00,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 0:15,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 0:30,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 0:45,13.6969,15.2687,13.1137,20.8594,20.6219,0,19.9156,19.8812,0,19.7375,19.5031,0
2/1/2024 1:00,13.4562,13.5344,13.075,20.8406,20.6094,0,19.9156,19.8844,0,19.75,19.5062,0
2/1/2024 1:15,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 1:30,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 1:45,11.7406,13.8344,12.995,20.8562,20.4906,0,19.9312,19.8875,0,19.7844,19.525,0
2/1/2024 2:00,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 2:15,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 2:30,15.2,15.5469,13.0525,20.7875,20.4594,0,19.9406,19.9031,0,19.7844,19.5406,0
2/1/2024 2:45,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 3:00,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 3:15,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 3:30,13.7031,15.2812,13.0137,20.7312,20.4625,0,19.9406,19.9062,0,19.8,19.575,0
2/1/2024 3:45,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 4:00,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 4:15,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 4:30,12.0031,14.1,13.0325,20.6812,20.4281,0,19.9562,19.9156,0,19.825,19.5875,0
2/1/2024 4:45,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 5:00,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 5:15,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 5:30,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 5:45,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 6:00,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 6:15,13.3875,15.1719,13.0662,20.6625,20.2844,0,19.9562,19.9344,0,19.8406,19.625,0
2/1/2024 6:30,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 6:45,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 7:00,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 7:15,11.6156,13.7125,13.005,20.5781,20.2562,0,19.9656,19.9406,0,19.8687,19.6312,0
2/1/2024 7:30,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 7:45,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2024 8:00,13.9344,15.3875,13.155,20.5219,20.1031,0,19.9719,19.95,0,19.8844,19.6531,0
2/1/2024 8:15,12.1531,16.3812,13.5075,20.5812,20.0937,0,19.9719,19.95,0,19.8812,19.6594,0
2/1/2024 8:30,14.4781,18.7344,13.5462,20.5625,20.1562,0,19.9844,19.95,0,19.8937,19.6594,0
2/1/2024 8:45,12.3719,17.9906,13.5637,20.5031,20.0469,0,19.9812,19.9562,0,19.8937,19.6594,0
